basisOfRecord,catalogNumber,collectionCode,country,eventDate,extraction_method,image,institutionCode,locality,ocr_confidence,ocr_engine,recordedBy,scientificName,specimen_id,stateProvince
PreservedSpecimen,,REGINA,Canada,1794,simple,0737c898bbe2d95decee99e14496bfe65a9553752c4da2f2cf64f4cb69c15b73.jpg,AAFC,,1.0,vision,,Persian darnel,0737c898bbe2d95decee99e14496bfe65a9553752c4da2f2cf64f4cb69c15b73,Saskatchewan
PreservedSpecimen,,,,,simple,07555f4a3ca154a0871d0f4e802c6d5ec07d408f385c279623d0f26a1458ae87.jpg,,,1.0,vision,,,07555f4a3ca154a0871d0f4e802c6d5ec07d408f385c279623d0f26a1458ae87,
PreservedSpecimen,,,,,simple,0763f54986a6a4ce70014d4be77e58778a5ad8638f67bb9cf570304c31bad17d.jpg,,,1.0,vision,,,0763f54986a6a4ce70014d4be77e58778a5ad8638f67bb9cf570304c31bad17d,
PreservedSpecimen,,REGINA,Canada,1984,simple,07662a03e57e860d6839aa34470de334202cc75a9c918c76c1cab8bb13fec383.jpg,AAFC,,0.956,vision,,Erigeron asper,07662a03e57e860d6839aa34470de334202cc75a9c918c76c1cab8bb13fec383,Saskatchewan
PreservedSpecimen,1,REGINA,Canada,,simple,077e4cf1faf4cf60b807c63befc677a9b3c3348ff9c4fa211459b44f28ca6f1d.jpg,AAFC,,0.907,vision,,Pslphir d,077e4cf1faf4cf60b807c63befc677a9b3c3348ff9c4fa211459b44f28ca6f1d,Saskatchewan
PreservedSpecimen,,,,,simple,078714b41367f7b0cbe70229e7fdf83b70d97c404d076f148f31a117f2095d07.jpg,,,1.0,vision,,,078714b41367f7b0cbe70229e7fdf83b70d97c404d076f148f31a117f2095d07,
PreservedSpecimen,2,REGINA,Canada,1960,simple,078cff631f275343afbeaac70c09bae528cbc194e9b1559444b3716cc66aa408.jpg,AAFC,,0.93,vision,,Tnctuee seantola,078cff631f275343afbeaac70c09bae528cbc194e9b1559444b3716cc66aa408,Saskatchewan
PreservedSpecimen,6,REGINA,Canada,1975,simple,07a251a70abc6e09b9fa63d8149ef973223251002e62480f0db89c596f28260b.jpg,AAFC,,0.953,vision,,Artemisis pabularis,07a251a70abc6e09b9fa63d8149ef973223251002e62480f0db89c596f28260b,Saskatchewan
PreservedSpecimen,,REGINA,Canada,"Sent. 21, 1972",simple,07a984adc307d02ca72d8948853bb2f4c85e984c8702fba39bcabc903fd146be.jpg,AAFC,,0.967,vision,,Artemisia ludoviciana,07a984adc307d02ca72d8948853bb2f4c85e984c8702fba39bcabc903fd146be,Saskatchewan
PreservedSpecimen,,REGINA,Canada,,simple,08138ea73e89f9c23e203559cded74838e01fe5ae682e517cba1e7664a8f7c30.jpg,AAFC,,0.974,vision,nate. Coll. No. Checked by,Bec cmannia,08138ea73e89f9c23e203559cded74838e01fe5ae682e517cba1e7664a8f7c30,Saskatchewan
PreservedSpecimen,,REGINA,Canada,1985,simple,081a6bce10ec539a0fd69966804904dd3d029af9deb7c87dff3ff089b25de143.jpg,AAFC,,1.0,vision,P. Harris. .,Checked by,081a6bce10ec539a0fd69966804904dd3d029af9deb7c87dff3ff089b25de143,Saskatchewan
PreservedSpecimen,,,,,simple,081faf3fe17cfb351d1917679d0add3e9412982522370aeddb5115b4d5c9eb89.jpg,,,1.0,vision,,Convolvulus arvensis,081faf3fe17cfb351d1917679d0add3e9412982522370aeddb5115b4d5c9eb89,
PreservedSpecimen,,REGINA,Canada,"Ang. 8, 1984",simple,0826f891fc979c774505046c51f0487c77ac6cbc9def3e8c119cd27fe9d463f9.jpg,AAFC,,1.0,vision,,Hieracium scabriuspulumn,0826f891fc979c774505046c51f0487c77ac6cbc9def3e8c119cd27fe9d463f9,Saskatchewan
PreservedSpecimen,,REGINA,Canada,,simple,089ac533ba99aa6c12c354ae1d86409480e6071fdfc7d9cc4c8558ddbe2ae267.jpg,AAFC,,0.933,vision,,Crepis tectorun,089ac533ba99aa6c12c354ae1d86409480e6071fdfc7d9cc4c8558ddbe2ae267,Saskatchewan
PreservedSpecimen,6,REGINA,Canada,,simple,08a5526e00d1fc2df91f5c12673e8853b3583c90d8c2240b8f7477ba2218601e.jpg,AAFC,,1.0,vision,M.Maw . .,Lornlity ceylon,08a5526e00d1fc2df91f5c12673e8853b3583c90d8c2240b8f7477ba2218601e,Saskatchewan
